Time,Price,5-Day EMA,KNN MA,Highlight
81,364.2799987793,364.148912826302,364.24622192383,Red
82,364.10998535156,364.135937001388,364.328802490236,Red
83,363.79000854492,364.0206275158987,364.23480224609403,Red
84,364.35000610352,364.1304203784391,364.03480224609405,Green
85,362.85998535156,363.7069420361461,364.007000732422,Red
86,362.92010498047,363.4446630175874,363.877996826172,Red
87,363.10998535156,363.33310379557827,363.60601806640597,Red
88,363.14999389648,363.2720671625455,363.40601806640603,Red
89,362.91009521484,363.1514098466437,363.278015136718,Red
90,363.23001098633,363.1776102265391,362.990032958982,Green
91,363.29000854492,363.21507633266606,363.064038085936,Green
92,362.79998779297,363.0767134861007,363.138018798826,Red
93,362.67999267578,362.9444732159938,363.076019287108,Red
94,362.87948608398,362.9228108386559,362.98201904296803,Red
95,363.11380004883,362.98647390871395,362.975897216796,Green
96,363.39001464844,363.12098748862263,362.952655029296,Green
97,363.82998657227,363.35732051650507,362.97265625,Green
98,364.01000976562,363.5748835995434,363.17865600586,Green
99,364.23199462891,363.79392060933225,363.444659423828,Green
100,364.57998657227,364.0559425969782,363.71516113281393,Green
101,364.57998657227,364.23062392207544,364.00839843750197,Green
102,364.14999389648,364.20374724687696,364.246392822268,Red
103,364.26870727539,364.22540058971464,364.31039428711,Red
104,364.03500366211,364.16193494717976,364.362133789064,Red
105,364.13000488281,364.15129159238984,364.322735595704,Red
106,364.44989013672,364.2508244404999,364.232739257812,Green
107,364.37750244141,364.29305044080326,364.206719970702,Green
108,364.26998901367,364.2853632984255,364.252221679688,Green
109,364.27499389648,364.28190683111035,364.252478027344,Green
110,363.83999633789,364.13460333337025,364.300476074218,Red
111,364.01000976562,364.0930721441202,364.242474365234,Red
112,364.01998901367,364.0687111006368,364.15449829101397,Red
113,364.26000976562,364.13247732229786,364.082995605466,Green
114,364.20001220703,364.1549889505419,364.080999755856,Green
115,363.98999023438,364.0999893784879,364.06600341796604,Green
116,364.26748657227,364.1558217764153,364.096002197264,Green
117,364.27990722656,364.1971835931302,364.14749755859395,Green
118,364.14010620117,364.17815779581014,364.199481201172,Red
119,363.54000854492,363.9654413788468,364.175500488282,Red
120,363.29000854492,363.7402971008712,364.04349975586,Red
121,363.41000366211,363.6301992879508,363.903503417968,Red
122,363.36999511719,363.5434645643639,363.73200683593603,Red
123,363.67999267578,363.5889739348359,363.550024414062,Green
124,363.76000976562,363.6459858784306,363.458001708984,Green
125,363.74969482422,363.6805555270271,363.502001953124,Green
126,363.44000244141,363.60037116515474,363.593939208984,Green
