Timestamp: 0, Price: 362.83999633789, EMA: 0.0, KNN: 0.0
Timestamp: 1, Price: 363.48001098633, EMA: 0.0, KNN: 0.0
Timestamp: 2, Price: 362.83999633789, EMA: 0.0, KNN: 0.0
Timestamp: 3, Price: 364.69000244141, EMA: 0.0, KNN: 0.0
Timestamp: 4, Price: 365.64639282227, EMA: 363.899279785158, KNN: 0.0
Timestamp: 5, Price: 365.5299987793, EMA: 364.44285278320535, KNN: 363.899279785158
Timestamp: 6, Price: 364.89001464844, EMA: 364.59190673828357, KNN: 364.43728027344
[91mTimestamp: 7, Price: 364.75, EMA: 364.64460449218905, KNN: 364.719281005862[0m
Timestamp: 8, Price: 365.70001220703, EMA: 364.9964070638027, KNN: 365.101281738284
Timestamp: 9, Price: 365.68090820312, EMA: 365.2245741102418, KNN: 365.30328369140796
[92mTimestamp: 10, Price: 366.29998779297, EMA: 365.58304533781785, KNN: 365.31018676757805[0m
[91mTimestamp: 11, Price: 364.76000976562, EMA: 365.30870014708523, KNN: 365.46418457031206[0m
Timestamp: 12, Price: 363.39001464844, EMA: 364.6691383142035, KNN: 365.438183593748
Timestamp: 13, Price: 363.36999511719, EMA: 364.23609058186565, KNN: 365.166186523436
Timestamp: 14, Price: 363.5071105957, EMA: 363.9930972531438, KNN: 364.700183105468
Timestamp: 15, Price: 364.26501464844, EMA: 364.0837363849092, KNN: 364.265423583984
[92mTimestamp: 16, Price: 363.88000488281, EMA: 364.01582588420945, KNN: 363.858428955078[0m
Timestamp: 17, Price: 363.80499267578, EMA: 363.9455481480663, KNN: 363.682427978516
Timestamp: 18, Price: 364.35989379883, EMA: 364.0836633649875, KNN: 363.765423583984
Timestamp: 19, Price: 364.53491210938, EMA: 364.23407961311835, KNN: 363.96340332031195
Timestamp: 20, Price: 364.35000610352, EMA: 364.27272177658557, KNN: 364.16896362304794
Timestamp: 21, Price: 364.20001220703, EMA: 364.24848525340036, KNN: 364.185961914064
[91mTimestamp: 22, Price: 363.89001464844, EMA: 364.1289950517469, KNN: 364.249963378908[0m
Timestamp: 23, Price: 363.76998901367, EMA: 364.00932637238793, KNN: 364.26696777344
Timestamp: 24, Price: 363.70999145508, EMA: 363.90954806661864, KNN: 364.148986816408
[92mTimestamp: 25, Price: 364.57998657227, EMA: 364.1330275685024, KNN: 363.98400268554803[0m
[91mTimestamp: 26, Price: 363.50500488281, EMA: 363.9236866732716, KNN: 364.02999877929796[0m
Timestamp: 27, Price: 363.79000854492, EMA: 363.8791272971544, KNN: 363.890997314454
Timestamp: 28, Price: 362.92010498047, EMA: 363.5594531915929, KNN: 363.87099609375
